accommodates,bathrooms,bedrooms,beds,cleaning_fee,host_response_rate,room_type_Entire home/apt,room_type_Private room,instant_bookable_t,"""Air conditioning""","""Coffee maker""","""Cooking basics""","""Family/kid friendly""","""Free parking on premises""","""Hot water""","""Private entrance""","""Self Check-In""","""Wireless Internet""",Kitchen,longitude,latitude,"""Hair dryer""","""Laptop friendly workspace""",log_price,Iron,Shampoo,Hangers,Dryer,Washer,"""First aid kit""",Essentials,"""Smoke detector""",TV,review_scores_rating
3,1.0,1.0,2.0,1,90,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.99382786985403,40.75756645988656,1,1,0.0,1,1,1,0,0,0,1,1,1,96.0
10,2.0,3.0,3.0,1,56,1,0,0,1,0,0,1,1,0,0,0,1,1,-118.31708236216512,34.06930708984314,0,0,0.0,0,1,0,1,1,1,0,1,1,96.0
2,1.0,1.0,1.0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,-74.16533883597316,40.62108940174596,0,0,0.0,0,0,0,0,0,0,1,1,1,94.0
4,1.0,1.0,2.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-71.13071326524191,42.28922069154087,1,0,0.0,1,1,0,1,1,0,1,1,1,90.0
2,1.0,1.0,1.0,0,100,0,1,0,1,0,0,0,0,0,0,0,1,1,-77.08138891214874,38.957409732073344,1,0,0.0,1,1,1,1,1,1,1,1,1,100.0
2,1.0,1.0,2.0,0,100,1,0,0,1,1,0,0,0,1,0,0,1,0,-73.97877291280523,40.7245980929127,1,1,0.0,1,1,1,0,0,1,1,1,1,97.0
3,1.0,1.0,2.0,0,100,1,0,1,0,0,0,1,1,0,0,0,1,1,-122.4982876404564,37.77505132333774,1,1,0.0,1,1,1,1,1,1,1,1,1,92.0
2,1.0,1.0,1.0,1,100,1,0,1,1,0,0,1,1,0,0,0,1,0,-118.2988910746477,34.09334461335579,1,1,0.0,1,1,1,0,0,1,1,1,1,98.0
5,1.0,3.0,5.0,1,100,1,0,0,1,0,0,1,0,0,0,1,1,1,-73.99494910425878,40.67816775348597,1,0,0.0,1,0,1,1,1,0,1,1,1,99.0
2,1.5,1.0,1.0,1,100,0,1,0,0,0,0,1,0,0,0,1,1,1,-122.41681709924056,37.755069551371655,0,0,0.0,0,1,0,1,1,1,1,1,1,99.0
2,1.0,1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.94745729889999,40.82355044943225,0,0,0.0,0,1,0,1,1,0,0,0,0,100.0
8,3.0,3.0,4.0,1,100,1,0,0,1,0,0,1,1,0,1,0,1,1,-118.27129534251884,34.111360624459536,1,1,0.0,1,1,1,1,1,1,1,1,1,98.0
2,1.0,1.0,1.0,0,100,0,1,1,1,0,0,1,0,0,0,0,1,1,-73.95291669352765,40.73749043301952,1,1,0.0,1,1,1,1,1,1,1,1,0,98.0
4,2.0,1.0,1.0,1,83,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.99940455407071,40.74876625916121,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
2,1.5,1.0,1.0,1,67,0,1,0,1,0,0,0,0,0,0,0,1,1,-73.95084258110904,40.77686113686933,0,0,0.0,0,0,0,0,0,0,1,1,1,87.0
2,2.0,1.0,1.0,1,100,1,0,0,1,0,0,1,0,0,0,0,1,1,-118.46604941670888,34.04082922084466,1,1,0.0,0,1,1,1,1,1,1,1,1,98.0
3,1.0,1.0,2.0,1,100,1,0,0,1,0,0,1,0,0,0,1,1,1,-87.6734865335466,41.89983340025415,1,1,0.0,1,1,1,1,1,0,1,1,1,99.0
3,1.0,1.0,2.0,1,91,0,1,0,1,0,1,1,0,0,0,0,1,1,-73.98047510238578,40.64236968953942,1,1,0.0,1,0,1,0,0,0,1,1,0,84.0
4,1.0,1.0,2.0,1,100,0,1,0,1,0,0,1,1,0,0,0,1,1,-118.48147318971996,34.014489841818,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
2,1.0,0.0,1.0,1,100,0,1,0,1,0,0,1,0,1,0,0,1,0,-73.97192638393912,40.75328390425639,1,1,0.0,1,1,1,0,0,0,1,1,1,100.0
2,1.0,1.0,1.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,-73.94649511699659,40.67475166316655,1,1,0.0,1,1,1,0,0,0,1,1,1,98.0
2,1.0,0.0,1.0,1,100,1,0,1,1,0,0,0,1,0,0,0,1,1,-118.3455064423882,34.102170925609755,1,1,0.0,1,1,1,1,1,0,1,1,1,98.0
2,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-73.94232840575293,40.7235829194345,0,0,0.0,0,0,0,0,0,1,1,1,1,100.0
3,0.0,1.0,1.0,0,100,1,0,1,1,0,0,0,0,0,0,0,1,1,-73.94949028282423,40.67854653712954,0,0,0.0,0,0,0,0,0,0,0,0,1,91.0
4,1.0,1.0,2.0,0,100,1,0,0,1,1,0,1,0,1,1,1,1,1,-73.98464633239767,40.575747266782216,1,1,0.0,1,1,1,0,0,1,1,1,1,93.0
2,1.0,1.0,1.0,1,100,1,0,0,1,0,0,0,0,0,0,0,1,1,-74.00189554148079,40.73092994987304,1,0,0.0,0,1,1,0,0,0,1,0,1,95.0
6,1.0,1.0,1.0,1,100,1,0,0,1,0,0,1,1,0,0,0,1,1,-73.95628544918131,40.771043961307385,0,0,0.0,0,0,0,0,0,0,0,0,0,74.0
2,1.0,1.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-73.99628795913411,40.75178115482824,0,1,0.0,0,0,0,0,0,0,0,1,1,100.0
10,1.0,3.0,4.0,0,100,1,0,1,1,0,0,1,0,0,0,0,1,1,-73.99956964989045,40.72064074085672,1,1,0.0,1,0,1,0,0,0,0,0,1,86.0
1,0.0,1.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,-76.98183638531856,38.89456580713985,0,0,0.0,1,1,1,1,1,0,1,1,1,96.0
2,1.0,1.0,1.0,1,67,0,1,0,1,0,0,1,0,0,0,0,1,1,-87.66894432626584,41.8997720791943,0,0,0.0,0,1,0,1,1,1,1,1,1,100.0
10,1.0,3.0,5.0,1,100,1,0,0,1,0,0,1,1,0,0,0,1,1,-73.85472700763636,40.87487319979998,0,0,0.0,1,0,0,0,0,0,1,0,1,100.0
1,1.0,1.0,1.0,0,100,0,1,0,1,0,0,0,1,0,0,0,1,1,-73.93226066328003,40.74119997386221,0,0,0.0,0,0,1,0,0,0,0,0,0,100.0
8,1.0,2.0,6.0,1,100,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.95016152032677,40.80497194679525,1,1,0.0,1,1,1,1,1,0,1,1,1,95.0
6,2.5,2.0,2.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.9839576011133,40.78282877804664,0,0,0.0,0,0,0,1,1,0,1,1,1,100.0
4,1.0,1.0,1.0,1,100,1,0,0,1,0,0,1,0,0,1,1,1,1,-77.01725791801644,38.87204805386844,1,1,0.0,1,1,1,1,1,0,1,1,0,80.0
2,1.0,1.0,1.0,1,100,1,0,0,0,0,0,0,1,0,1,0,1,1,-118.1807619475232,33.76813068220173,1,1,0.0,1,1,1,0,0,1,1,1,1,97.0
3,1.0,1.0,2.0,0,90,1,0,0,1,0,0,1,0,0,0,1,1,1,-73.96801751436979,40.78840006592678,1,1,0.0,1,1,1,0,0,1,1,1,1,89.0
2,1.0,1.0,1.0,0,100,1,0,0,0,0,0,0,0,0,0,0,1,1,-122.40964532167852,37.79014414727004,1,0,0.0,1,1,1,0,0,0,1,1,1,87.0
2,1.0,1.0,1.0,1,100,1,0,0,0,0,0,1,1,0,1,0,1,1,-122.50566260168732,37.752837044688256,1,1,0.0,1,1,1,0,1,1,1,1,1,95.0
2,1.0,1.0,1.0,1,100,0,1,1,1,0,0,0,0,0,0,0,1,1,-118.24830866312628,34.069622992024215,0,1,0.0,1,1,1,1,1,0,1,1,1,100.0
2,1.0,1.0,1.0,0,100,0,1,0,0,0,0,1,1,0,0,0,1,1,-118.31484986439266,34.09039445569061,1,0,0.0,1,1,1,1,1,0,1,1,1,97.0
2,1.0,1.0,1.0,1,100,0,1,0,0,0,0,1,0,0,0,0,1,1,-118.16723345631073,33.773861462753864,1,1,0.0,1,1,1,1,1,1,1,1,1,96.0
6,1.0,3.0,6.0,1,100,1,0,1,1,0,0,1,0,0,1,1,1,1,-71.03090537985993,42.37837425621412,1,1,0.0,1,1,1,1,1,1,1,1,1,92.0
2,1.0,1.0,1.0,1,100,0,1,0,1,0,0,0,0,0,0,0,1,1,-73.94097646399558,40.71546092948751,1,1,0.0,1,1,1,1,1,0,1,1,1,96.0
2,1.0,0.0,1.0,0,80,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.94850749307194,40.78928626070454,1,0,0.0,0,0,0,0,0,1,1,1,0,94.0
3,1.0,1.0,2.0,1,100,0,1,1,1,0,0,1,0,0,0,0,1,1,-87.66615332821958,41.903711408172335,1,0,0.0,1,1,1,0,0,0,0,0,0,95.0
6,1.0,2.0,2.0,1,100,1,0,0,1,0,0,1,1,0,0,0,1,1,-118.46246963327124,33.98893181130492,1,1,0.0,1,1,1,1,1,1,1,1,1,99.0
2,1.0,1.0,0.0,0,80,0,1,0,1,0,0,1,1,0,0,0,1,1,-87.62747540541224,41.82689857001935,1,0,0.0,0,1,1,1,1,0,1,1,1,80.0
2,1.0,1.0,2.0,1,100,1,0,0,1,0,0,0,0,0,0,1,1,1,-73.95767837493975,40.803141924157366,1,1,0.0,1,1,1,1,1,0,1,1,0,99.0
2,1.0,1.0,1.0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,-73.94216534331166,40.69481021559902,0,0,0.0,0,0,0,0,1,0,1,0,0,100.0
2,1.0,0.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.97519329925558,40.78789448233893,1,1,0.0,1,1,1,1,1,0,1,1,1,96.0
3,1.0,1.0,2.0,1,97,0,1,1,0,1,1,0,0,1,0,1,1,1,-122.40054060596157,37.77578474010362,1,1,0.0,1,1,1,1,1,1,1,1,0,96.0
12,2.0,3.0,6.0,1,100,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.93489600487175,40.79365004349832,1,1,0.0,1,1,1,0,0,0,1,1,1,87.0
13,4.0,6.0,8.0,1,100,1,0,1,0,0,0,1,1,0,0,1,1,1,-118.4622389363694,33.98239568576339,1,1,0.0,1,1,1,1,1,0,1,1,1,87.0
5,1.0,2.0,2.0,1,100,1,0,0,1,0,0,1,0,0,0,1,1,1,-71.06051166687087,42.34955828957631,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
2,1.0,0.0,1.0,1,100,1,0,1,1,0,0,0,0,0,1,0,1,1,-73.92618794468737,40.704605364011776,1,0,0.0,1,1,1,0,0,0,1,0,1,90.0
2,1.0,1.0,1.0,1,100,1,0,0,1,0,0,0,1,0,0,0,1,1,-73.9713107704051,40.68520790636164,1,1,0.0,1,1,1,0,0,1,1,1,1,89.0
5,1.5,3.0,3.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-77.03339567656695,38.9367878787284,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
2,1.0,1.0,1.0,1,100,1,0,0,1,0,0,1,0,0,0,0,1,1,-77.06805063854705,38.913518456668456,1,1,0.0,0,1,1,1,1,0,1,1,1,94.0
4,2.0,2.0,2.0,1,100,1,0,0,0,0,1,0,1,1,1,1,1,1,-122.4418595592602,37.75724196337548,1,1,0.0,1,1,1,1,1,1,1,1,1,96.0
5,2.0,2.0,2.0,1,100,1,0,0,1,0,0,1,1,0,0,0,1,1,-118.39326474077144,34.00595717123195,0,1,0.0,0,1,1,0,0,1,1,1,1,99.0
4,1.0,1.0,2.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-118.19840053505922,34.10494454657423,0,0,0.0,0,1,0,1,1,0,1,0,1,84.0
3,1.0,1.0,2.0,1,100,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.97420499647023,40.78578305621031,1,0,0.0,1,0,1,0,1,0,1,1,1,94.0
2,2.0,1.0,1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,-71.16396428401578,42.35639291040471,0,0,0.0,0,0,0,1,1,0,1,0,0,80.0
1,1.0,1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,-73.97893628920615,40.72714195527534,0,0,0.0,0,0,0,1,1,1,1,1,0,100.0
4,1.0,2.0,2.0,1,100,1,0,1,1,0,0,1,0,1,0,0,1,1,-73.98892976519991,40.75820552779034,1,1,0.0,0,1,1,1,1,0,1,1,1,100.0
10,2.0,3.0,4.0,1,100,1,0,1,1,0,0,1,1,0,0,0,1,1,-118.60244018492334,34.15143135014857,1,0,0.0,1,1,1,1,1,0,1,1,1,70.0
8,3.0,2.0,2.0,1,100,1,0,0,1,1,1,1,0,1,1,1,1,1,-73.95754314530589,40.71782722827671,1,1,0.0,1,0,1,1,1,0,1,1,1,100.0
4,2.0,2.0,2.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-71.0298482082233,42.338622860751634,1,0,0.0,1,1,0,1,1,1,1,1,1,87.0
3,1.0,1.0,1.0,1,100,0,1,0,0,0,0,1,0,0,0,0,1,0,-73.93971619281541,40.68367885752853,0,0,0.0,0,1,0,0,0,0,1,1,0,93.0
3,1.0,1.0,2.0,1,100,1,0,0,1,0,0,1,0,0,0,0,1,1,-77.04149035607584,38.92481767251514,1,1,0.0,1,1,1,1,1,1,1,1,1,90.0
4,1.0,2.0,2.0,1,100,0,1,0,1,0,0,1,1,0,0,0,1,0,-73.95385836440425,40.67782091862527,1,1,0.0,1,1,1,0,0,1,1,1,1,89.0
3,1.0,1.0,2.0,1,100,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.95489845560331,40.74252672893088,0,0,0.0,0,1,0,1,1,1,1,0,1,89.0
1,1.0,1.0,1.0,0,100,0,0,0,1,0,0,0,1,0,0,0,1,1,-77.03662944224092,38.93706328539415,0,1,0.0,0,1,1,1,1,1,0,1,1,100.0
2,0.5,1.0,1.0,0,90,0,1,1,0,0,0,1,0,0,0,0,1,0,-118.41958397979494,33.91911921197952,0,1,0.0,0,1,1,0,0,1,1,1,1,93.0
2,1.0,0.0,1.0,1,90,1,0,0,1,0,0,0,1,0,0,0,1,1,-118.30607931837244,34.10325614689817,1,1,0.0,1,1,0,0,0,0,1,1,0,97.0
5,1.0,1.0,1.0,1,100,1,0,0,1,0,0,0,0,0,0,1,1,1,-73.98001556189787,40.78210867816576,1,1,0.0,1,1,1,1,1,1,1,1,1,93.0
2,4.0,1.0,1.0,0,99,0,1,0,1,0,0,0,0,0,1,0,1,1,-118.32981606735147,34.10083197400401,1,0,0.0,1,1,1,0,0,0,1,1,1,91.0
4,1.0,2.0,2.0,1,90,1,0,0,0,0,0,0,0,0,0,0,1,1,-73.98537080020051,40.68556853550374,1,1,0.0,1,1,1,0,0,0,1,0,0,100.0
2,1.0,1.0,1.0,0,75,0,1,0,1,0,0,0,1,0,0,0,1,1,-87.71154309076267,41.955638455221546,1,0,0.0,1,1,1,1,1,1,1,1,1,93.0
5,1.0,1.0,4.0,1,94,1,0,1,1,0,0,1,1,0,0,1,1,1,-77.03957965791062,38.93301449379867,1,1,0.0,1,1,1,1,1,0,1,1,1,98.0
2,1.0,1.0,1.0,1,100,1,0,1,1,0,0,1,1,0,1,1,1,1,-73.94171169473073,40.81201730922133,0,1,0.0,1,1,1,0,0,0,1,1,1,87.0
1,1.0,1.0,1.0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,-73.9007727399865,40.70012962597893,0,0,0.0,0,0,1,1,1,0,1,1,0,98.0
1,1.0,1.0,1.0,0,100,0,1,0,1,0,0,0,1,0,0,0,1,0,-118.35111426646094,34.055137750478416,1,1,0.0,1,1,1,1,1,1,1,1,1,98.0
2,1.5,1.0,1.0,1,98,0,1,0,0,0,0,1,1,0,0,0,1,1,-71.09616427568606,42.31911240097993,0,0,0.0,0,1,1,0,0,1,1,1,1,83.0
4,1.0,1.0,1.0,1,100,1,0,0,1,0,0,0,0,0,0,0,1,1,-118.2516136248116,34.091869437446015,1,1,0.0,1,1,1,1,1,0,1,1,1,98.0
1,1.0,1.0,1.0,1,100,0,1,1,1,0,0,1,0,0,0,0,1,1,-73.92433208554587,40.76785936126407,1,1,0.0,1,1,1,0,0,1,1,1,1,92.0
2,1.0,1.0,1.0,1,83,0,1,0,1,0,0,0,0,0,0,1,1,1,-73.94998091444711,40.68859119439378,1,0,0.0,1,1,1,0,0,1,1,1,1,100.0
6,1.0,3.0,4.0,1,100,1,0,1,1,0,0,1,0,0,1,0,1,1,-73.99763573247697,40.68329113850098,1,0,0.0,1,1,1,1,1,1,1,1,1,90.0
2,1.0,1.0,1.0,1,100,0,1,0,0,0,0,0,0,0,0,0,1,1,-73.94535549450116,40.633453635898576,0,0,0.0,0,1,1,0,0,0,1,1,0,80.0
6,2.0,3.0,3.0,1,100,0,1,1,1,0,0,1,1,0,0,0,1,1,-73.79374455449813,40.58936060808281,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
4,1.0,1.0,1.0,1,90,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.98819814253855,40.76815456779247,1,1,0.0,1,1,1,1,1,1,1,1,1,96.0
2,1.0,1.0,1.0,1,88,0,1,0,1,0,0,0,0,0,0,0,0,1,-73.93790383883514,40.82075011669835,0,0,0.0,0,0,0,0,0,0,0,0,0,82.0
2,1.0,1.0,1.0,1,100,1,0,1,1,0,0,0,1,0,0,0,1,1,-118.22486924374334,34.214059259519146,1,1,0.0,1,1,1,1,1,1,1,1,1,99.0
2,1.0,0.0,1.0,1,75,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.92931324437549,40.7594788914254,1,0,0.0,1,0,1,0,0,0,1,1,1,100.0
1,1.0,3.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,-73.94791172627446,40.71609033468319,0,0,0.0,0,0,1,0,0,0,1,0,1,93.0
4,1.0,2.0,2.0,1,100,1,0,1,0,0,0,1,1,0,0,0,1,1,-118.46263456914372,34.00024364522248,0,1,0.0,1,0,1,0,0,0,1,1,1,95.0
4,1.0,1.0,2.0,1,100,1,0,0,1,0,0,0,1,0,1,1,1,1,-118.30114151429017,34.097104882633275,1,1,0.0,1,1,1,1,1,1,1,1,1,99.0
5,2.0,3.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,-122.43186099951204,37.75938060705203,0,0,0.0,0,0,0,1,1,0,0,1,1,100.0
4,1.0,1.0,2.0,0,100,1,0,0,1,0,0,1,1,0,0,0,1,1,-117.99658746896992,34.14509389472177,0,0,0.0,0,0,0,1,1,0,0,0,1,90.0
1,1.0,1.0,1.0,1,100,0,1,0,1,0,0,1,1,0,0,0,1,1,-118.63751582233722,34.1685266044979,0,1,0.0,1,1,1,1,1,1,1,1,0,98.0
3,2.0,2.0,2.0,1,100,1,0,0,1,0,0,1,1,0,1,0,1,1,-118.51494281896952,34.17302718279141,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
7,1.0,1.0,5.0,0,100,1,0,0,1,0,0,1,1,0,0,0,1,1,-118.30161587857764,34.05789907989005,1,1,0.0,0,1,1,1,1,0,1,1,1,89.0
5,2.0,2.0,3.0,1,50,1,0,0,0,0,0,1,1,0,0,0,1,1,-122.44484111527832,37.76314358274127,0,0,0.0,0,0,0,1,1,0,0,0,1,100.0
4,1.0,1.0,3.0,0,100,0,1,0,0,0,0,1,1,0,0,0,1,1,-118.52733326977976,34.03622356473114,1,1,0.0,1,1,1,1,1,1,1,1,1,99.0
1,1.0,1.0,1.0,1,100,0,1,1,0,0,0,0,0,0,0,0,1,1,-73.94849732263864,40.8075874706288,1,0,0.0,1,1,1,1,1,0,1,0,0,93.0
3,1.0,2.0,2.0,1,100,1,0,0,0,0,0,1,0,0,0,0,1,1,-118.49383904028002,34.00883318534634,1,1,0.0,1,1,0,1,1,0,0,1,1,100.0
16,2.0,4.0,9.0,1,95,1,0,1,1,0,0,1,0,0,0,0,1,1,-73.8020043073052,40.75547625421429,1,0,0.0,0,1,1,1,1,0,1,0,1,100.0
3,1.0,0.0,1.0,0,80,1,0,0,1,0,0,1,1,0,0,0,1,1,-118.18647758263285,33.97263734147524,0,0,0.0,1,0,0,0,0,0,1,1,1,95.0
6,1.5,2.0,2.0,1,100,1,0,0,0,0,0,1,0,0,1,0,1,1,-73.99342247020914,40.66450675732191,0,1,0.0,1,1,1,0,1,0,1,1,1,90.0
2,1.0,1.0,2.0,1,100,0,1,1,0,0,0,0,0,0,0,0,1,0,-118.48893015038936,34.009989095987315,1,1,0.0,1,1,1,1,1,1,1,1,1,95.0
2,1.0,0.0,1.0,1,78,1,0,0,0,0,0,0,0,0,0,0,1,1,-118.40310019179744,33.86873964030293,1,0,0.0,1,1,1,0,0,1,1,1,1,100.0
1,2.0,1.0,1.0,0,100,0,0,1,1,0,0,1,0,0,0,0,1,1,-73.93590638227639,40.69914131391759,0,0,0.0,0,1,0,0,0,1,1,1,0,91.0
4,1.0,1.0,3.0,1,100,1,0,1,1,0,0,1,0,0,1,1,1,1,-73.92863770100797,40.686424368935256,1,1,0.0,1,1,1,0,0,1,1,1,1,95.0
1,1.0,1.0,1.0,1,100,0,1,1,1,0,0,0,0,0,0,0,1,1,-73.90765701597441,40.6814716994866,1,1,0.0,1,0,0,0,0,1,1,1,1,95.0
5,1.0,1.0,3.0,1,100,1,0,0,1,1,1,1,1,1,1,1,1,1,-77.00252325626292,38.88618540613937,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
3,1.0,1.0,1.0,1,100,0,0,0,1,0,0,0,0,0,0,0,1,1,-73.95680969188444,40.76810164368796,0,1,0.0,0,1,1,1,1,0,1,1,1,88.0
3,1.0,1.0,1.0,1,100,0,1,1,1,0,0,1,0,0,0,0,1,1,-73.94679154293273,40.79376234628676,1,1,0.0,1,1,1,0,0,0,1,0,0,92.0
7,1.0,2.0,3.0,1,100,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.97204458400032,40.79149417536782,1,1,0.0,1,0,1,1,1,0,1,0,1,88.0
7,3.0,3.0,4.0,1,100,1,0,0,1,0,0,0,1,0,1,0,1,1,-118.12405822720946,34.1995596639978,1,1,0.0,1,1,1,1,1,1,1,1,1,88.0
7,2.0,3.0,3.0,1,100,1,0,1,1,0,0,1,1,0,1,0,1,1,-118.3892694177606,34.15603649659116,1,1,0.0,1,1,1,1,1,1,1,1,1,95.0
6,1.0,1.0,2.0,1,100,1,0,1,1,0,0,1,0,0,0,0,1,1,-73.93497838487677,40.7539845638465,1,0,0.0,1,0,1,0,0,0,1,1,0,91.0
4,2.0,2.0,2.0,1,100,1,0,0,1,0,0,1,0,0,1,0,1,1,-71.0628447492466,42.37520610592023,1,1,0.0,1,1,1,1,1,0,1,1,0,98.0
8,1.0,2.0,4.0,1,100,1,0,1,1,1,1,0,1,1,0,1,1,1,-71.09695386524317,42.3418837685331,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
4,1.0,2.0,2.0,1,94,1,0,1,1,0,0,0,0,0,0,1,1,1,-118.46980856214942,33.98418934907939,1,1,0.0,1,1,1,0,0,1,1,1,1,98.0
4,1.0,1.0,2.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.9601793549334,40.71938443435815,1,1,0.0,1,1,1,0,0,0,1,1,1,100.0
